# Prior;Lambda;PCA;Dataset;Weighted;MinDCF
$\pi = 0.5$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;0.52141394094373
$\pi = 0.5$;$10$;PCA $(m=5)$;Z-Norm;Weighted;0.496953042504739
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;0.4965408444970294
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;0.5093902268361259
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;0.5144027581644466
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;0.5156406244036487
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;0.5156406244036487
$\pi = 0.1$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;1.0
$\pi = 0.1$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;1.0
$\pi = 0.1$;$10$;PCA $(m=5)$;Z-Norm;Weighted;1.0
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;1.0
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;1.0
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;1.0
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;1.0
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;1.0
$\pi = 0.9$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;0.6208121827411167
$\pi = 0.9$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;0.5548223350253807
$\pi = 0.9$;$10$;PCA $(m=5)$;Z-Norm;Weighted;0.5411167512690356
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;0.531693446815007
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;0.5446051677416893
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;0.5451127819548872
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;0.5451127819548872
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;0.5451127819548872
$\pi = 0.5$;$10^3$;No PCA;RAW;Unweighted;0.4870552014554152
