# Prior;Lambda;PCA;Dataset;Weighted;Type;LogregPrior;MinDCF
$\pi = 0.1$;$10$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.4209648486698981
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.3721715456153073
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.38793939162627383
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.40506850883554063
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.40757477449970103
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.40757477449970103
$\pi = 0.9$;$10^3$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.22560207625663142
$\pi = 0.9$;$10^2$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.2380710659898477
$\pi = 0.9$;$10$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.22328537078737454
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.16548223350253807
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.15685279187817258
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.15431472081218275
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.15380710659898478
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.1$;0.15380710659898478
$\pi = 0.5$;$10^3$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.22690100886734602
$\pi = 0.5$;$10^2$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.22131725252216836
$\pi = 0.5$;$10$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.19619098507690547
$\pi = 0.5$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.14549317456076738
$\pi = 0.5$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.12004885309721003
$\pi = 0.5$;$10^{-3}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.10171240283449741
$\pi = 0.5$;$10^{-4}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.09857130134982126
$\pi = 0.5$;$10^{-5}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.0960968410874903
$\pi = 0.1$;$10^3$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.7138531608208337
$\pi = 0.1$;$10^2$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.7088406294925128
$\pi = 0.1$;$10$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.6429767311680216
$\pi = 0.1$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.4739119372034146
$\pi = 0.1$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.42775339363637516
$\pi = 0.1$;$10^{-3}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.41363306744017403
$\pi = 0.1$;$10^{-4}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.4181430734195896
$\pi = 0.1$;$10^{-5}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.4283258908693052
$\pi = 0.9$;$10^3$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.3426395939086294
$\pi = 0.9$;$10^2$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.33451776649746195
$\pi = 0.9$;$10$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.3101522842639594
$\pi = 0.9$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.2609137055837564
$\pi = 0.9$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.23473913209419486
$\pi = 0.9$;$10^{-3}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.17157360406091374
$\pi = 0.9$;$10^{-4}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.13372390366779893
$\pi = 0.9$;$10^{-5}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.1296629899622152
$\pi = 0.5$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.22943907993333587
$\pi = 0.5$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.22334770937496023
$\pi = 0.5$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.1972062135033014
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.14476419475083646
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.11941528949276745
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.10675673956464765
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.09723929112120402
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.09831813035125886
$\pi = 0.1$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.7218159612228542
$\pi = 0.1$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.7134091574112946
$\pi = 0.1$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.6534457972342023
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.48555525870513844
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.4308906784728318
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.40906453952139227
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.41918883503174176
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.4233133595409844
$\pi = 0.9$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.3436548223350254
$\pi = 0.9$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.3360406091370559
$\pi = 0.9$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.31218274111675126
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.2654822335025381
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.23372390366779897
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.1746192893401015
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.13959390862944163
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.1$;0.14517766497461929
$\pi = 0.5$;$10^3$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.4879750136763228
$\pi = 0.5$;$10^2$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.4855323588158213
$\pi = 0.5$;$10$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5012365940231289
$\pi = 0.5$;$10^{-1}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5120555195094335
$\pi = 0.5$;$10^{-2}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5140223655585665
$\pi = 0.5$;$10^{-3}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5140223655585665
$\pi = 0.5$;$10^{-4}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5140223655585665
$\pi = 0.5$;$10^{-5}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5140223655585665
$\pi = 0.1$;$10^3$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^2$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-1}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-2}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-3}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-4}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-5}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.9$;$10^3$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5152284263959391
$\pi = 0.9$;$10^2$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5253807106598984
$\pi = 0.9$;$10$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5456203961680852
$\pi = 0.9$;$10^{-1}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5537422235792527
$\pi = 0.9$;$10^{-2}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5562802946452425
$\pi = 0.9$;$10^{-3}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5567879088584405
$\pi = 0.9$;$10^{-4}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5567879088584405
$\pi = 0.9$;$10^{-5}$;No PCA;RAW;Weighted;Linear;$\pi = 0.1$;0.5567879088584405
$\pi = 0.5$;$10^3$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.4869915906517563
$\pi = 0.5$;$10^2$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.4865475872422172
$\pi = 0.5$;$10$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5045672557027086
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5166863860158009
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5177016144421969
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5182092286553948
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5182410340572243
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5182410340572243
$\pi = 0.1$;$10^3$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^2$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.9$;$10^3$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5177664974619289
$\pi = 0.9$;$10^2$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5256020762566315
$\pi = 0.9$;$10$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5388000457997787
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5413381168657684
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5418457310789664
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5413381168657684
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5413381168657684
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.1$;0.5413381168657684
$\pi = 0.5$;$10^3$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.49362110860908615
$\pi = 0.5$;$10^2$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.4923527091841278
$\pi = 0.5$;$10$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.4914010915613908
$\pi = 0.5$;$10^{-1}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.4939709680292101
$\pi = 0.5$;$10^{-2}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5044731117132935
$\pi = 0.5$;$10^{-3}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.512023714107604
$\pi = 0.5$;$10^{-4}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5140223655585665
$\pi = 0.5$;$10^{-5}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5140223655585665
$\pi = 0.1$;$10^3$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^2$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-1}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-2}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-3}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-4}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-5}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.9$;$10^3$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5568527918781726
$\pi = 0.9$;$10^2$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5504751727033319
$\pi = 0.9$;$10$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.547937101637342
$\pi = 0.9$;$10^{-1}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5367695889469867
$\pi = 0.9$;$10^{-2}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5506965383000649
$\pi = 0.9$;$10^{-3}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5552650662188466
$\pi = 0.9$;$10^{-4}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5567879088584405
$\pi = 0.9$;$10^{-5}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5567879088584405
$\pi = 0.5$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.49412872282228415
$\pi = 0.5$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.4923527091841278
$\pi = 0.5$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.49187690037275933
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.4939709680292101
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5054565347378599
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5103100390570334
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5108494586720609
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5103418444588629
$\pi = 0.1$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;1.0
$\pi = 0.9$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5558375634517766
$\pi = 0.9$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5509827869165298
$\pi = 0.9$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.548952330063738
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5337239036677989
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5522193809396588
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5562802946452425
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5572955230716384
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Linear;$\pi = 0.1$;0.5578031372848364
$\pi = 0.5$;$10^3$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.10980242484383547
$\pi = 0.5$;$10^2$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.10174420823632685
$\pi = 0.5$;$10$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.09752426752159588
$\pi = 0.5$;$10^{-1}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.10418686309682837
$\pi = 0.5$;$10^{-2}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.09774690533440199
$\pi = 0.5$;$10^{-3}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.09727109652303347
$\pi = 0.5$;$10^{-4}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.09727109652303347
$\pi = 0.5$;$10^{-5}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.09727109652303347
$\pi = 0.1$;$10^3$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.44837601618258843
$\pi = 0.1$;$10^2$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.39383992977367277
$\pi = 0.1$;$10$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.4172550666005115
$\pi = 0.1$;$10^{-1}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.4147780619060341
$\pi = 0.1$;$10^{-2}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.42258310751498035
$\pi = 0.1$;$10^{-3}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.42921389768838336
$\pi = 0.1$;$10^{-4}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.42921389768838336
$\pi = 0.1$;$10^{-5}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.42921389768838336
$\pi = 0.9$;$10^3$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.1428609595053624
$\pi = 0.9$;$10^2$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.14213197969543148
$\pi = 0.9$;$10$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.1304568527918782
$\pi = 0.9$;$10^{-1}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.132708675241403
$\pi = 0.9$;$10^{-2}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.14060913705583755
$\pi = 0.9$;$10^{-3}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.14213197969543148
$\pi = 0.9$;$10^{-4}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.1431472081218274
$\pi = 0.9$;$10^{-5}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.9$;0.1431472081218274
$\pi = 0.5$;$10^3$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.18857677187893593
$\pi = 0.5$;$10^2$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.1541226161851329
$\pi = 0.5$;$10$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.12173072274595118
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.10399603068585168
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.09558922687429233
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.09866671755530959
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.09765148912891365
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.09765148912891365
$\pi = 0.1$;$10^3$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.7023968550818671
$\pi = 0.1$;$10^2$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.58974339401804
$\pi = 0.1$;$10$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.4812729794028217
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.3721715456153073
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.4054832512753966
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.4337824256071651
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.4389234507588769
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.4389234507588769
$\pi = 0.9$;$10^3$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.23423151788099691
$\pi = 0.9$;$10^2$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.22131979695431475
$\pi = 0.9$;$10$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.2065989847715736
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.17208121827411169
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.15047517270333194
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.15301324376932182
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.15301324376932182
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.9$;0.15808938590130148
$\pi = 0.5$;$10^3$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.229375469129677
$\pi = 0.5$;$10^2$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.22836024070328104
$\pi = 0.5$;$10$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.2162729157920181
$\pi = 0.5$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.1571683014643207
$\pi = 0.5$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.12147755174738878
$\pi = 0.5$;$10^{-3}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.09758787832525476
$\pi = 0.5$;$10^{-4}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.09971375138353498
$\pi = 0.5$;$10^{-5}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.09777871073623144
$\pi = 0.1$;$10^3$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.7163594264849941
$\pi = 0.1$;$10^2$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.7163594264849941
$\pi = 0.1$;$10$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.6935167868910855
$\pi = 0.1$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.5449461216493009
$\pi = 0.1$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.4373637138531608
$\pi = 0.1$;$10^{-3}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.3959314529979772
$\pi = 0.1$;$10^{-4}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.4013587267661539
$\pi = 0.1$;$10^{-5}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.42213910410544125
$\pi = 0.9$;$10^3$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.3431472081218275
$\pi = 0.9$;$10^2$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.3431472081218275
$\pi = 0.9$;$10$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.33096446700507615
$\pi = 0.9$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.265924964696004
$\pi = 0.9$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.9$;0.2081218274111675
