# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.100$;0.4648667776852623;0.47111677768526233;0.4648667776852623;0.4673751040799333;0.9342661034846885;0.017762975298362477;0.9331050829602318;0.01665278934221482
$\pi_T = 0.500$;0.1531116430752151;0.17690119344990285;0.1531116430752151;0.16018387454898697;0.9715585893060296;0.051901193449902856;0.9882534775888717;0.11268387454898696
$\pi_T = 0.900$;0.2829680127671385;0.6045014571190676;0.2829680127671385;0.31175964474049406;0.9863387978142076;0.09825145711906745;0.9971550497866287;0.22175964474049403
