# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.100$;0.5223251457119067;0.9099979184013322;0.5223251457119067;0.5298251457119066;0.8322550831792976;0.0002775464890369137;0.9321854304635762;0.02331390507910075
$\pi_T = 0.500$;0.17547182903136277;0.22134193727449347;0.17547182903136277;0.1815924229808493;0.9626274065685164;0.05634193727449348;0.9779499404052443;0.0890924229808493
$\pi_T = 0.900$;0.4766052595059673;0.6898341659728006;0.4766052595059673;0.4900568970302526;0.9917598587404356;0.5323341659728005;0.992503748125937;0.2650568970302526
