# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.100$;0.5223376353039134;0.5223376353039134;0.5223376353039134;0.5223376353039134;0.9308159493002377;0.02164862614487927;0.9308159493002377;0.02164862614487927
$\pi_T = 0.500$;0.15349361643075216;0.15521301693033585;0.15349361643075216;0.15521301693033585;0.9816838995568685;0.07771301693033583;0.9816838995568685;0.07771301693033583
$\pi_T = 0.900$;0.19319109075770194;0.1984457396613933;0.19319109075770194;0.1984457396613933;1.0;0.19844573966139328;1.0;0.19844573966139328
