# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.100$;0.49480641132389674;0.9049937552039966;0.49480641132389674;0.49481681931723565;0.8337193144974525;0.0008326394671107411;0.9410977242302544;0.024424091035248403
$\pi_T = 0.500$;0.13909034138218151;0.21857479877879543;0.13909034138218151;0.14449937552039965;0.9609592861126603;0.04357479877879545;0.9893129770992366;0.10074937552039967
$\pi_T = 0.900$;0.2341572994726617;0.26474361643075217;0.2341572994726617;0.24316819317235638;0.9964584674822924;0.14099361643075214;0.9986173522295195;0.19816819317235637
