# Prior;MinDCF;ActDCF;CalMinDCF;CalActDCF;TPR;FPR;CalTPR;CalFPR
$\pi_T = 0.100$;0.4486167776852623;0.46358139050791003;0.4486167776852623;0.4723105745212323;0.9439828464218708;0.022481265611990008;0.9471413160733549;0.025256730502359145
$\pi_T = 0.500$;0.13255863169580906;0.14090167915625867;0.13255863169580906;0.1345035387177352;0.9865390367932995;0.08465167915625868;0.9905746427485558;0.09575353871773522
$\pi_T = 0.900$;0.20762350818762146;0.2597290452400777;0.20762350818762146;0.23526748542880938;0.9970404472213088;0.15847904524007772;0.9983125210934863;0.17901748542880933
