# Kernel;Prior;PCA;Dataset;Gamma;C;K;MinDCF
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 1$;$C = 1$;$K = 1$;0.21655661997633682
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 1$;$K = 1$;0.09156011857053802
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 1$;$K = 1$;0.37556581809854583
RBF;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 1$;$K = 1$;0.21278195488721807
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.14666742999631058
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.5447883668562268
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.20225182244952483
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.13340584964950447
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.552435657672099
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.19209953818556544
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.9989847715736041
RBF;$\pi = 0.1$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;1.0
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.9989847715736041
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.9969225093189826
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;1.0
RBF;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10^{-2}$;$K = 1$;0.9979695431472081
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.6181977787107362
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.7412236174191824
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.9979695431472081
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.3502118239761841
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.5610294772464155
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.9949238578680202
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.10564609493276338
RBF;$\pi = 0.1$;No PCA;Z-Norm;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.4243591211531367
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.15634517766497463
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.104599061104538
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.4360317036245436
RBF;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10^{-2}$;$K = 1$;0.17715736040609137
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;0.9979695431472081
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;1.0
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;0.9979695431472081
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;0.9979695431472081
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;1.0
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;0.9979695431472081
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;1.0
RBF;$\pi = 0.1$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;1.0
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;1.0225563909774436
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;1.0
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;1.0
RBF;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10^{-4}$;$K = 1$;1.0225563909774436
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.41446128010381283
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.8861722835006298
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.9979695431472081
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.3742974186735875
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.8631718891136471
