# Prior;Dataset;MVG;PCA;Components;MinDCF
$\pi = 0.5$;RAW;Standard MVG;No PCA;1;0.12287317277966489
$\pi = 0.5$;RAW;Standard MVG;No PCA;2;0.14092464664198567
