# Prior;Dataset;MVG;PCA;Components;MinDCF
$\pi = 0.9$;RAW;Diagonal GMM;PCA $(m=5)$;2;0.17027212701805275
$\pi = 0.9$;Z-Norm;Diagonal GMM;PCA $(m=5)$;2;0.22547231021716732
$\pi = 0.5$;RAW;Tied GMM;PCA $(m=5)$;2;0.11782883604951465
$\pi = 0.5$;Z-Norm;Tied GMM;PCA $(m=5)$;2;0.11674999681945981
$\pi = 0.1$;RAW;Tied GMM;PCA $(m=5)$;2;0.4355584392453214
$\pi = 0.1$;Z-Norm;Tied GMM;PCA $(m=5)$;2;0.49494930218948385
$\pi = 0.9$;RAW;Tied GMM;PCA $(m=5)$;2;0.1860081676271898
$\pi = 0.9$;Z-Norm;Tied GMM;PCA $(m=5)$;2;0.1743330407236365
$\pi = 0.5$;RAW;Standard GMM;No PCA;3;0.14612801038128315
$\pi = 0.5$;Z-Norm;Standard GMM;No PCA;3;0.1184000610663715
$\pi = 0.1$;RAW;Standard GMM;No PCA;3;0.47832271032912227
$\pi = 0.1$;Z-Norm;Standard GMM;No PCA;3;0.5035431217638003
$\pi = 0.9$;RAW;Standard GMM;No PCA;3;0.2284263959390863
$\pi = 0.9$;Z-Norm;Standard GMM;No PCA;3;0.21465592916300907
$\pi = 0.5$;RAW;Diagonal GMM;No PCA;3;0.11034184445886289
$\pi = 0.5$;Z-Norm;Diagonal GMM;No PCA;3;0.1171940002289989
$\pi = 0.1$;RAW;Diagonal GMM;No PCA;3;0.4413012225996463
$\pi = 0.1$;Z-Norm;Diagonal GMM;No PCA;3;0.43717669809040366
$\pi = 0.9$;RAW;Diagonal GMM;No PCA;3;0.18267623373153696
$\pi = 0.9$;Z-Norm;Diagonal GMM;No PCA;3;0.1763634975764284
$\pi = 0.5$;RAW;Tied GMM;No PCA;3;0.12077910512321413
$\pi = 0.5$;Z-Norm;Tied GMM;No PCA;3;0.11782883604951465
$\pi = 0.1$;RAW;Tied GMM;No PCA;3;0.46344287113723387
$\pi = 0.1$;Z-Norm;Tied GMM;No PCA;3;0.46236784855539864
$\pi = 0.9$;RAW;Tied GMM;No PCA;3;0.199713751383535
$\pi = 0.9$;Z-Norm;Tied GMM;No PCA;3;0.20072897980993093
$\pi = 0.5$;RAW;Standard GMM;PCA $(m=5)$;3;0.12458684783023549
$\pi = 0.5$;Z-Norm;Standard GMM;PCA $(m=5)$;3;0.12544304924748417
$\pi = 0.1$;RAW;Standard GMM;PCA $(m=5)$;3;0.46579138200832026
$\pi = 0.1$;Z-Norm;Standard GMM;PCA $(m=5)$;3;0.48523974911899037
$\pi = 0.9$;RAW;Standard GMM;PCA $(m=5)$;3;0.24301744208236328
$\pi = 0.9$;Z-Norm;Standard GMM;PCA $(m=5)$;3;0.19238578680203045
$\pi = 0.5$;RAW;Diagonal GMM;PCA $(m=5)$;3;0.12468099181965064
$\pi = 0.5$;Z-Norm;Diagonal GMM;PCA $(m=5)$;3;0.1152907649835248
$\pi = 0.1$;RAW;Diagonal GMM;PCA $(m=5)$;3;0.49837283564240553
$\pi = 0.1$;Z-Norm;Diagonal GMM;PCA $(m=5)$;3;0.4930155337582535
$\pi = 0.9$;RAW;Diagonal GMM;PCA $(m=5)$;3;0.1900690813327736
$\pi = 0.9$;Z-Norm;Diagonal GMM;PCA $(m=5)$;3;0.21392694935307816
$\pi = 0.5$;RAW;Tied GMM;PCA $(m=5)$;3;0.11789244685317354
$\pi = 0.5$;Z-Norm;Tied GMM;PCA $(m=5)$;3;0.10764474638372581
$\pi = 0.1$;RAW;Tied GMM;PCA $(m=5)$;3;0.47578718369527884
$\pi = 0.1$;Z-Norm;Tied GMM;PCA $(m=5)$;3;0.48819001819268987
$\pi = 0.9$;RAW;Tied GMM;PCA $(m=5)$;3;0.1860081676271898
$\pi = 0.9$;Z-Norm;Tied GMM;PCA $(m=5)$;3;0.1799167970688142
$\pi = 0.5$;RAW;Standard GMM;No PCA;4;0.1654809612864649
$\pi = 0.5$;Z-Norm;Standard GMM;No PCA;4;0.1381970153810923
$\pi = 0.1$;RAW;Standard GMM;No PCA;4;0.5181367123392236
$\pi = 0.1$;Z-Norm;Standard GMM;No PCA;4;0.4842525094462044
$\pi = 0.9$;RAW;Standard GMM;No PCA;4;0.2393076600129766
