# Classifier;App. Prior;Min. DCF;Act. DCF
MVG;0.1;0.5359939633638634;0.5711375936719401
MVG;0.5;0.15308874548986956;0.1917530530113794
MVG;0.9;0.2051255897862892;0.2051255897862892
Logistic Regression;0.1;0.4486167776852623;0.46358139050791003
Logistic Regression;0.5;0.13255863169580906;0.14090167915625867
Logistic Regression;0.9;0.20762350818762146;0.2597290452400777
SVM;0.1;1.0;1.1210189425478767
SVM;0.5;0.28716451568137663;0.2920309464335276
SVM;0.9;0.41458125173466553;0.4354891756869275
